epoch,train_loss,val_loss,lr
1,1.139788,1.081184,2.00e-04
2,1.136827,1.086413,3.00e-04
3,1.134837,1.091575,4.00e-04
4,1.132255,1.076978,5.00e-04
5,1.140607,1.086642,6.00e-04
6,1.138360,1.086791,7.00e-04
7,1.134824,1.086051,8.00e-04
8,1.136369,1.081676,9.00e-04
9,1.134036,1.086899,1.00e-03
10,1.138704,1.081547,1.00e-03
11,1.129186,1.077762,9.98e-04
12,1.140267,1.085256,9.94e-04
13,1.132763,1.080985,9.86e-04
1,1.139788,1.081184,2.00e-04
14,1.135212,1.089717,9.76e-04
2,1.136827,1.086413,3.00e-04
15,1.135249,1.078091,9.62e-04
3,1.134837,1.091575,4.00e-04
16,1.140485,1.086624,9.46e-04
4,1.132255,1.076978,5.00e-04
17,1.131098,1.087793,9.26e-04
5,1.140607,1.086642,6.00e-04
18,1.132306,1.079314,9.05e-04
6,1.138360,1.086791,7.00e-04
19,1.140947,1.079226,8.80e-04
7,1.134824,1.086051,8.00e-04
20,1.139712,1.089026,8.54e-04
8,1.136369,1.081676,9.00e-04
21,1.141414,1.081345,8.25e-04
9,1.134036,1.086899,1.00e-03
22,1.137728,1.082789,7.94e-04
10,1.138704,1.081547,1.00e-03
23,1.135916,1.084777,7.61e-04
11,1.129186,1.077762,9.98e-04
24,1.137321,1.080597,7.27e-04
12,1.140267,1.085256,9.94e-04
25,1.135996,1.078379,6.92e-04
13,1.132763,1.080985,9.86e-04
26,1.135984,1.079057,6.55e-04
14,1.135212,1.089717,9.76e-04
27,1.134713,1.078548,6.17e-04
15,1.135249,1.078091,9.62e-04
28,1.134640,1.077659,5.79e-04
16,1.140485,1.086624,9.46e-04
29,1.125797,1.084995,5.40e-04
17,1.131098,1.087793,9.26e-04
30,1.133899,1.082543,5.01e-04
18,1.132306,1.079314,9.05e-04
31,1.135616,1.084995,4.61e-04
19,1.140947,1.079226,8.80e-04
32,1.135849,1.077919,4.22e-04
20,1.139712,1.089026,8.54e-04
33,1.135188,1.081245,3.84e-04
21,1.141414,1.081345,8.25e-04
34,1.137002,1.082547,3.46e-04
22,1.137728,1.082789,7.94e-04
35,1.135438,1.081498,3.09e-04
23,1.135916,1.084777,7.61e-04
36,1.130313,1.083437,2.74e-04
24,1.137321,1.080597,7.27e-04
37,1.139936,1.079068,2.40e-04
25,1.135996,1.078379,6.92e-04
38,1.138730,1.082811,2.07e-04
26,1.135984,1.079057,6.55e-04
39,1.133003,1.084809,1.76e-04
27,1.134713,1.078548,6.17e-04
40,1.132019,1.082187,1.47e-04
28,1.134640,1.077659,5.79e-04
41,1.137478,1.077098,1.21e-04
29,1.125797,1.084995,5.40e-04
42,1.133057,1.085394,9.64e-05
30,1.133899,1.082543,5.01e-04
43,1.132536,1.074581,7.46e-05
31,1.135616,1.084995,4.61e-04
44,1.132012,1.089176,5.54e-05
32,1.135849,1.077919,4.22e-04
45,1.130095,1.079716,3.90e-05
33,1.135188,1.081245,3.84e-04
46,1.132241,1.087327,2.54e-05
34,1.137002,1.082547,3.46e-04
47,1.137174,1.071110,1.48e-05
35,1.135438,1.081498,3.09e-04
48,1.129277,1.077344,7.15e-06
36,1.130313,1.083437,2.74e-04
49,1.133899,1.077274,2.54e-06
37,1.139936,1.079068,2.40e-04
50,1.132971,1.083814,1.00e-06
38,1.138730,1.082811,2.07e-04
39,1.133003,1.084809,1.76e-04
40,1.132019,1.082187,1.47e-04
41,1.137478,1.077098,1.21e-04
42,1.133057,1.085394,9.64e-05
43,1.132536,1.074581,7.46e-05
44,1.132012,1.089176,5.54e-05
45,1.130095,1.079716,3.90e-05
46,1.132241,1.087327,2.54e-05
47,1.137174,1.071110,1.48e-05
48,1.129277,1.077344,7.15e-06
49,1.133899,1.077274,2.54e-06
50,1.132971,1.083814,1.00e-06
