epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,1.141913,0.861589,0.862177,0.871390,0.859750,2.00e-04
2,0.609499,0.917881,0.924336,0.927039,0.923057,3.00e-04
3,0.338283,0.925166,0.932919,0.934553,0.933042,4.00e-04
4,0.184823,0.925166,0.933608,0.935206,0.933619,5.00e-04
5,0.137998,0.945695,0.951426,0.958278,0.952698,5.00e-04
6,0.120024,0.925166,0.933962,0.933896,0.934045,4.99e-04
7,0.105913,0.909934,0.919475,0.924134,0.919901,4.96e-04
8,0.110625,0.919205,0.927805,0.930603,0.927937,4.91e-04
9,0.087122,0.909272,0.918617,0.922712,0.918797,4.84e-04
10,0.083286,0.940397,0.947188,0.948887,0.946888,4.75e-04
11,0.086129,0.927815,0.935744,0.936973,0.934921,4.65e-04
12,0.088708,0.952980,0.957924,0.960830,0.957766,4.52e-04
13,0.062967,0.931126,0.938337,0.939036,0.938058,4.38e-04
14,0.068252,0.923179,0.931398,0.932584,0.930311,4.23e-04
15,0.060754,0.935099,0.941796,0.943526,0.940256,4.06e-04
16,0.081833,0.924503,0.932025,0.936895,0.930885,3.88e-04
17,0.058615,0.915894,0.923724,0.926712,0.921267,3.69e-04
18,0.061392,0.916556,0.924861,0.925847,0.924359,3.49e-04
19,0.055068,0.938411,0.944578,0.945662,0.944381,3.28e-04
20,0.038589,0.938411,0.944226,0.946885,0.943938,3.06e-04
21,0.037215,0.921854,0.928982,0.929932,0.928417,2.84e-04
22,0.033565,0.923179,0.930484,0.931783,0.929948,2.62e-04
23,0.022898,0.933775,0.939633,0.941335,0.939437,2.39e-04
24,0.023981,0.916556,0.924795,0.925482,0.924150,2.17e-04
25,0.025401,0.923179,0.930733,0.931726,0.930081,1.95e-04
26,0.020028,0.931126,0.937440,0.939108,0.936955,1.73e-04
27,0.021941,0.914570,0.922379,0.923546,0.921370,1.52e-04
28,0.015264,0.912583,0.920612,0.921517,0.919802,1.32e-04
29,0.014653,0.913907,0.921561,0.922547,0.920690,1.13e-04
30,0.014248,0.919205,0.926566,0.927296,0.926051,9.49e-05
31,0.013320,0.924503,0.931468,0.932431,0.931110,7.81e-05
32,0.011030,0.918543,0.926691,0.927349,0.926160,6.26e-05
33,0.011570,0.917881,0.926107,0.926761,0.925565,4.87e-05
34,0.008885,0.920530,0.928168,0.928764,0.927671,3.63e-05
35,0.007984,0.921854,0.929232,0.930076,0.928593,2.57e-05
36,0.008150,0.920530,0.928068,0.928886,0.927403,1.69e-05
37,0.008772,0.920530,0.928068,0.928886,0.927403,9.99e-06
38,0.007148,0.920530,0.928068,0.928886,0.927403,5.01e-06
39,0.006432,0.920530,0.928068,0.928886,0.927403,2.00e-06
40,0.006409,0.920530,0.928068,0.928886,0.927403,1.00e-06
