epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,1.214977,0.655629,0.629388,0.695378,0.625894,2.00e-04
2,0.830438,0.710596,0.694173,0.733441,0.697785,3.00e-04
3,0.711878,0.759603,0.747519,0.771632,0.752361,4.00e-04
4,0.584231,0.791391,0.782003,0.801715,0.789739,5.00e-04
5,0.496718,0.831788,0.823038,0.838442,0.827686,5.00e-04
6,0.441760,0.835762,0.831098,0.845125,0.833628,4.99e-04
7,0.406719,0.841060,0.835514,0.851909,0.839182,4.96e-04
8,0.382455,0.839735,0.835225,0.845764,0.838203,4.91e-04
9,0.360198,0.843046,0.839208,0.850992,0.842328,4.84e-04
10,0.354966,0.841722,0.837407,0.847301,0.840850,4.75e-04
11,0.339825,0.848344,0.844149,0.855661,0.847059,4.65e-04
12,0.331177,0.846358,0.842027,0.855093,0.845488,4.52e-04
13,0.314135,0.851656,0.849615,0.859364,0.851272,4.38e-04
14,0.311262,0.850331,0.846821,0.855741,0.849350,4.23e-04
15,0.296186,0.852318,0.848904,0.859167,0.851366,4.06e-04
16,0.298414,0.852980,0.849697,0.860041,0.852138,3.88e-04
17,0.293818,0.848344,0.844446,0.855757,0.847501,3.69e-04
18,0.280184,0.851656,0.848335,0.857835,0.850900,3.49e-04
19,0.279261,0.851656,0.848165,0.859666,0.851623,3.28e-04
20,0.274162,0.851656,0.848272,0.857143,0.850269,3.06e-04
21,0.273467,0.853642,0.850713,0.860051,0.853014,2.84e-04
22,0.269269,0.850993,0.846594,0.858345,0.850308,2.62e-04
23,0.266637,0.850993,0.847022,0.858521,0.850658,2.39e-04
24,0.262241,0.852980,0.849156,0.860208,0.852668,2.17e-04
25,0.255011,0.851656,0.847459,0.859742,0.851121,1.95e-04
26,0.255659,0.854967,0.851384,0.861640,0.854391,1.73e-04
27,0.251338,0.852318,0.847966,0.859688,0.852089,1.52e-04
28,0.254884,0.852318,0.847966,0.859688,0.852089,1.32e-04
29,0.249648,0.851656,0.847285,0.859145,0.851225,1.13e-04
30,0.249251,0.851656,0.847299,0.858543,0.851083,9.49e-05
31,0.257376,0.851656,0.847169,0.858835,0.851276,7.81e-05
32,0.249656,0.851656,0.847161,0.858977,0.851225,6.26e-05
33,0.251518,0.852980,0.848869,0.860347,0.852810,4.87e-05
34,0.246523,0.852318,0.848083,0.859163,0.851946,3.63e-05
35,0.242027,0.852980,0.848884,0.859473,0.852371,2.57e-05
36,0.246459,0.852318,0.848071,0.858752,0.851508,1.69e-05
37,0.250942,0.852318,0.848071,0.858752,0.851508,9.99e-06
38,0.249034,0.852318,0.848071,0.858752,0.851508,5.01e-06
39,0.246781,0.852318,0.848071,0.858752,0.851508,2.00e-06
40,0.250473,0.852318,0.848071,0.858752,0.851508,1.00e-06
