epoch,train_loss,val_loss,lr
1,1.139788,1.081184,2.00e-04
2,1.136827,1.086413,3.00e-04
3,1.134837,1.091575,4.00e-04
4,1.132255,1.076978,5.00e-04
5,1.140607,1.086642,6.00e-04
6,1.138360,1.086791,7.00e-04
7,1.134824,1.086051,8.00e-04
8,1.136369,1.081676,9.00e-04
9,1.134036,1.086899,1.00e-03
10,1.138704,1.081547,1.00e-03
11,1.129186,1.077762,1.00e-03
12,1.140267,1.085256,9.99e-04
13,1.132763,1.080985,9.97e-04
14,1.135214,1.089717,9.95e-04
15,1.135251,1.078091,9.92e-04
16,1.140489,1.086624,9.89e-04
17,1.131102,1.087809,9.85e-04
18,1.132314,1.079321,9.81e-04
19,1.140957,1.079237,9.76e-04
20,1.139722,1.089012,9.70e-04
21,1.141429,1.081354,9.64e-04
22,1.137743,1.082795,9.57e-04
23,1.135936,1.084779,9.49e-04
24,1.137339,1.080598,9.42e-04
25,1.136021,1.078422,9.33e-04
26,1.136032,1.079084,9.24e-04
27,1.134752,1.078491,9.15e-04
28,1.134675,1.077656,9.05e-04
29,1.125833,1.084988,8.94e-04
30,1.133933,1.082546,8.83e-04
31,1.135660,1.084941,8.72e-04
32,1.135902,1.077990,8.60e-04
33,1.135243,1.081264,8.47e-04
34,1.137057,1.082539,8.35e-04
35,1.135491,1.081558,8.22e-04
36,1.130376,1.083407,8.08e-04
37,1.140001,1.079085,7.94e-04
38,1.138794,1.082857,7.80e-04
39,1.133070,1.084796,7.65e-04
40,1.132072,1.082212,7.50e-04
41,1.137544,1.077241,7.35e-04
42,1.133124,1.085482,7.19e-04
43,1.132621,1.074526,7.04e-04
44,1.132085,1.089261,6.88e-04
45,1.130168,1.079719,6.71e-04
46,1.132318,1.087242,6.55e-04
47,1.137270,1.071148,6.38e-04
48,1.129356,1.077320,6.21e-04
49,1.133962,1.077204,6.04e-04
50,1.133040,1.083757,5.87e-04
51,1.137600,1.071664,5.70e-04
52,1.134415,1.081027,5.53e-04
53,1.131557,1.092663,5.35e-04
54,1.138082,1.082379,5.18e-04
55,1.134184,1.081204,5.01e-04
56,1.135202,1.079888,4.83e-04
57,1.136944,1.088515,4.66e-04
58,1.136291,1.082008,4.48e-04
59,1.135182,1.082488,4.31e-04
60,1.137228,1.080509,4.14e-04
61,1.131468,1.080115,3.97e-04
62,1.132848,1.078501,3.80e-04
63,1.128146,1.082989,3.63e-04
64,1.139937,1.076834,3.46e-04
65,1.134708,1.085242,3.30e-04
66,1.135626,1.079232,3.13e-04
67,1.134838,1.074545,2.97e-04
68,1.136587,1.081657,2.82e-04
69,1.137273,1.079460,2.66e-04
70,1.134623,1.083547,2.51e-04
71,1.132318,1.083187,2.36e-04
72,1.134692,1.073066,2.21e-04
73,1.137728,1.073876,2.07e-04
74,1.135702,1.087316,1.93e-04
75,1.134257,1.085935,1.79e-04
76,1.138565,1.087203,1.66e-04
77,1.141786,1.084007,1.54e-04
78,1.135992,1.088058,1.41e-04
79,1.133281,1.079223,1.29e-04
80,1.138034,1.089264,1.18e-04
81,1.127891,1.086078,1.07e-04
82,1.137863,1.081696,9.64e-05
83,1.139167,1.086951,8.64e-05
84,1.141087,1.085924,7.69e-05
85,1.137130,1.082829,6.79e-05
86,1.133661,1.082400,5.95e-05
87,1.143183,1.079879,5.16e-05
88,1.128695,1.075905,4.42e-05
89,1.137384,1.071143,3.74e-05
90,1.137790,1.086259,3.11e-05
1,1.139788,1.081184,2.00e-04
2,1.136827,1.086413,3.00e-04
3,1.134837,1.091575,4.00e-04
4,1.132255,1.076978,5.00e-04
5,1.140607,1.086642,6.00e-04
6,1.138360,1.086791,7.00e-04
7,1.134824,1.086051,8.00e-04
8,1.136369,1.081676,9.00e-04
9,1.134036,1.086899,1.00e-03
10,1.138704,1.081547,1.00e-03
11,1.129186,1.077762,9.98e-04
12,1.140267,1.085256,9.94e-04
13,1.132763,1.080985,9.86e-04
14,1.135212,1.089717,9.76e-04
15,1.135249,1.078091,9.62e-04
16,1.140485,1.086624,9.46e-04
17,1.131098,1.087793,9.26e-04
18,1.132306,1.079314,9.05e-04
19,1.140947,1.079226,8.80e-04
20,1.139712,1.089026,8.54e-04
21,1.141414,1.081345,8.25e-04
22,1.137728,1.082789,7.94e-04
23,1.135916,1.084777,7.61e-04
24,1.137321,1.080597,7.27e-04
25,1.135996,1.078379,6.92e-04
26,1.135984,1.079057,6.55e-04
27,1.134713,1.078548,6.17e-04
28,1.134640,1.077659,5.79e-04
29,1.125797,1.084995,5.40e-04
30,1.133899,1.082543,5.01e-04
31,1.135616,1.084995,4.61e-04
32,1.135849,1.077919,4.22e-04
33,1.135188,1.081245,3.84e-04
34,1.137002,1.082547,3.46e-04
35,1.135438,1.081498,3.09e-04
36,1.130313,1.083437,2.74e-04
37,1.139936,1.079068,2.40e-04
38,1.138730,1.082811,2.07e-04
39,1.133003,1.084809,1.76e-04
40,1.132019,1.082187,1.47e-04
41,1.137478,1.077098,1.21e-04
42,1.133057,1.085394,9.64e-05
43,1.132536,1.074581,7.46e-05
44,1.132012,1.089176,5.54e-05
45,1.130095,1.079716,3.90e-05
46,1.132241,1.087327,2.54e-05
47,1.137174,1.071110,1.48e-05
48,1.129277,1.077344,7.15e-06
49,1.133899,1.077274,2.54e-06
50,1.132971,1.083814,1.00e-06
